,,,MIS  ,,CO,,,
ISIN,,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,CO Margin(%),CO Upper Trigger,CO Multiplier
ISIN,Symbol,Not listed in BSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INE120A01034,CARBORUNIV,513375,19.71,20.00,5,20.00,10,5
INE752H01013,CARERATING,534804,19.45,20.00,5,20.00,10,5
INE172A01027,CASTROLIND,500870,14.66,20.00,5,20.00,10,5
INE421D01022,CCL,519600,19.82,20.00,5,20.00,10,5
INE482A01020,CEATLTD,500878,16.28,20.00,5,20.00,10,5
INE483A01010,CENTRALBK,532885,25.45,20.00,5,20.00,10,5
INE348B01021,CENTURYPLY,532548,20.52,20.00,5,20.00,10,5
INE055A01016,CENTURYTEX,500040,23.21,20.00,5,20.00,10,5
INE739E01017,CERA,532443,18.18,20.00,5,20.00,10,5
INE180C01026,CGCL,531595,19.61,20.00,5,20.00,10,5
INE427F01016,CHALET,542399,22.83,20.00,5,20.00,10,5
INE085A01013,CHAMBLFERT,500085,22.14,20.00,5,20.00,10,5
INE03YM01018,CHEMCON,543233,17.06,20.00,5,20.00,10,5
INE121A01024,CHOLAFIN,511243,23.58,20.00,5,20.00,10,5
INE149A01033,CHOLAHLDNG,504973,16.06,20.00,5,20.00,10,5
INE059A01026,CIPLA,500087,14.63,20.00,5,20.00,10,5
INE522F01014,COALINDIA,533278,16.60,20.00,5,20.00,10,5
INE704P01017,COCHINSHIP,540678,14.81,20.00,5,20.00,10,5
INE591G01017,COFORGE,532541,22.06,20.00,5,20.00,10,5
INE259A01022,COLPAL,500830,12.50,20.00,5,20.00,10,5
INE111A01025,CONCOR,531344,17.64,20.00,5,20.00,10,5
INE169A01031,COROMANDEL,506395,14.93,20.00,5,20.00,10,5
INE741K01010,CREDITACC,541770,23.00,20.00,5,20.00,10,5
INE007A01025,CRISIL,500092,17.62,20.00,5,20.00,10,5
INE299U01018,CROMPTON,539876,16.10,20.00,5,20.00,10,5
INE679A01013,CSBBANK,542867,18.90,20.00,5,20.00,10,5
INE491A01021,CUB,532210,17.03,20.00,5,20.00,10,5
INE298A01020,CUMMINSIND,500480,16.37,20.00,5,20.00,10,5
INE136B01020,CYIENT,532175,19.85,20.00,5,20.00,10,5
INE016A01026,DABUR,500096,12.50,20.00,5,20.00,10,5
INE00R701025,DALBHARAT,542216,18.50,20.00,5,20.00,10,5
INE950I01011,DBCORP,533151,19.87,20.00,5,20.00,10,5
INE917M01012,DBL,540047,22.00,20.00,5,20.00,10,5
INE385W01011,DCAL,540701,27.07,20.00,5,20.00,10,5
INE503A01015,DCBBANK,532772,18.77,20.00,5,20.00,10,5
INE499A01024,DCMSHRIRAM,523367,23.89,20.00,5,20.00,10,5
INE288B01029,DEEPAKNTR,506401,21.99,20.00,5,20.00,10,5
INE124G01033,DELTACORP,532848,24.40,20.00,5,20.00,10,5
INE947J01015,DEN,533137,22.82,20.00,5,20.00,10,5
INE456C01020,DFMFOODS,519588,22.92,20.00,5,20.00,10,5
INE274G01010,DHANI,532960,27.98,20.00,5,20.00,10,5
INE435G01025,DHANUKA,507717,17.72,20.00,5,20.00,10,5
INE393P01035,DIAMONDYD,540724,17.63,20.00,5,20.00,10,5
INE361B01024,DIVISLAB,532488,14.77,20.00,5,20.00,10,5
INE271C01023,DLF,532868,22.15,20.00,5,20.00,10,5
INE192R01011,DMART,540376,16.38,20.00,5,20.00,10,5
INE089A01023,DRREDDY,500124,13.76,20.00,5,20.00,10,5
INE738I01010,ECLERX,532927,22.90,20.00,5,20.00,10,5
INE532F01054,EDELWEISS,532922,24.21,20.00,5,20.00,10,5
INE066A01021,EICHERMOT,505200,16.31,20.00,5,20.00,10,5
INE126A01031,EIDPARRY,500125,21.02,20.00,5,20.00,10,5
INE230A01023,EIHOTEL,500840,20.27,20.00,5,20.00,10,5
INE285A01027,ELGIEQUIP,522074,21.93,20.00,5,20.00,10,5
INE548C01032,EMAMILTD,531162,16.78,20.00,5,20.00,10,5
INE913H01037,ENDURANCE,540153,17.41,20.00,5,20.00,10,5
INE510A01028,ENGINERSIN,532178,15.49,20.00,5,20.00,10,5
INE255A01020,EPL,500135,17.90,20.00,5,20.00,10,5
INE988K01017,EQUITAS,539844,24.36,20.00,5,20.00,10,5
INE406M01024,ERIS,540596,15.61,20.00,5,20.00,10,5
INE284A01012,ESABINDIA,500133,20.51,20.00,5,20.00,10,5
INE042A01014,ESCORTS,500495,18.33,20.00,5,20.00,10,5
INE302A01020,EXIDEIND,500086,14.17,20.00,5,20.00,10,5
INE188A01015,FACT,590024,27.12,20.00,5,20.00,10,5
INE220J01025,FCONSUMER,533400,28.75,20.00,5,20.00,10,5
INE258B01022,FDC,531599,17.47,20.00,5,20.00,10,5
INE171A01029,FEDERALBNK,500469,19.72,20.00,5,20.00,10,5
INE235A01022,FINCABLES,500144,18.94,20.00,5,20.00,10,5
INE686Y01026,FINEORG,541557,19.28,20.00,5,20.00,10,5
INE452O01016,FLFL,536507,26.84,20.00,5,20.00,10,5
INE529A01010,FMGOETZE,505744,18.91,20.00,5,20.00,10,5
INE451A01017,FORCEMOT,500033,20.54,20.00,5,20.00,10,5
INE061F01013,FORTIS,532843,18.45,20.00,5,20.00,10,5
INE752P01024,FRETAIL,540064,27.66,20.00,5,20.00,10,5
INE684F01012,FSL,532809,24.37,20.00,5,20.00,10,5
INE524A01029,GABRIEL,505714,21.44,20.00,5,20.00,10,5
INE036B01030,GAEL,524226,21.85,20.00,5,20.00,10,5
INE129A01019,GAIL,532155,17.18,20.00,5,20.00,10,5
INE600K01018,GALAXYSURF,540935,16.14,20.00,5,20.00,10,5
