,,,MIS  ,,CO,,,
ISIN,,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,CO Margin(%),CO Upper Trigger,CO Multiplier
ISIN,Symbol,Not listed in BSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INE160A01022,PNB,532461,20.44,20.00,5,20.00,10,5
INE195J01029,PNCINFRA,539150,21.35,20.00,5,20.00,10,5
INE455K01017,POLYCAB,542652,17.39,20.00,5,20.00,10,5
INE205C01021,POLYMED,531768,19.50,20.00,5,20.00,10,5
INE633B01018,POLYPLEX,524051,21.91,20.00,5,20.00,10,5
INE752E01010,POWERGRID,532898,14.97,20.00,5,20.00,10,5
INE07Y701011,POWERINDIA,543187,19.49,20.00,5,20.00,10,5
INE811K01011,PRESTIGE,533274,23.90,20.00,5,20.00,10,5
INE010A01011,PRSMJOHNSN,500338,20.75,20.00,5,20.00,10,5
INE608A01012,PSB,533295,22.38,20.00,5,20.00,10,5
INE488V01015,PSPPROJECT,540544,18.32,20.00,5,20.00,10,5
INE877F01012,PTC,532524,18.77,20.00,5,20.00,10,5
INE191H01014,PVR,532689,21.18,20.00,5,20.00,10,5
INE615P01015,QUESS,539978,20.87,20.00,5,20.00,10,5
INE944F01028,RADICO,532497,19.87,20.00,5,20.00,10,5
INE855B01025,RAIN,500339,24.38,20.00,5,20.00,10,5
INE343B01030,RAJESHEXPO,531500,17.06,20.00,5,20.00,10,5
INE613A01020,RALLIS,500355,16.68,20.00,5,20.00,10,5
INE331A01037,RAMCOCEM,500260,15.20,20.00,5,20.00,10,5
INE614A01028,RAMCOIND,532369,19.55,20.00,5,20.00,10,5
INE703B01027,RATNAMANI,520111,15.22,20.00,5,20.00,10,5
INE301A01014,RAYMOND,500330,21.06,20.00,5,20.00,10,5
INE976G01028,RBLBANK,540065,27.45,20.00,5,20.00,10,5
INE027A01015,RCF,524230,21.72,20.00,5,20.00,10,5
INE020B01018,RECLTD,532955,17.10,20.00,5,20.00,10,5
INE891D01026,REDINGTON,532805,24.35,20.00,5,20.00,10,5
INE131B01039,RELAXO,530517,15.83,20.00,5,20.00,10,5
INE002A01018,RELIANCE,500325,15.52,20.00,5,20.00,10,5
INE743M01012,RHIM,534076,19.54,20.00,5,20.00,10,5
INE320J01015,RITES,541556,15.28,20.00,5,20.00,10,5
INE02A801020,ROSSARI,543213,16.79,20.00,5,20.00,10,5
INE450U01017,ROUTE,543228,21.31,20.00,5,20.00,10,5
INE619A01035,RUCHI,500368,20.88,20.00,5,20.00,10,5
INE895B01021,RUPA,533552,22.30,20.00,5,20.00,10,5
INE415G01027,RVNL,542649,22.63,20.00,5,20.00,10,5
INE114A01011,SAIL,500113,24.30,20.00,5,20.00,10,5
INE058A01010,SANOFI,500674,12.50,20.00,5,20.00,10,5
INE806T01012,SAPPHIRE,543397,12.50,20.00,5,20.00,10,5
INE018E01016,SBICARD,543066,16.62,20.00,5,20.00,10,5
INE123W01016,SBILIFE,540719,14.72,20.00,5,20.00,10,5
INE062A01020,SBIN,500112,17.53,20.00,5,20.00,10,5
INE513A01014,SCHAEFFLER,505790,14.67,20.00,5,20.00,10,5
INE839M01018,SCHNEIDER,534139,23.42,20.00,5,20.00,10,5
INE109A01011,SCI,523598,22.91,20.00,5,20.00,10,5
INE916U01025,SFL,540203,16.51,20.00,5,20.00,10,5
INE790G01031,SHILPAMED,530549,22.28,20.00,5,20.00,10,5
INE498B01024,SHOPERSTOP,532638,24.22,20.00,5,20.00,10,5
INE070A01015,SHREECEM,500387,14.95,20.00,5,20.00,10,5
INE722A01011,SHRIRAMCIT,532498,23.85,20.00,5,20.00,10,5
INE003A01024,SIEMENS,500550,15.18,20.00,5,20.00,10,5
INE285J01028,SIS,540673,18.18,20.00,5,20.00,10,5
INE002L01015,SJVN,533206,14.73,20.00,5,20.00,10,5
INE640A01023,SKFINDIA,500472,17.70,20.00,5,20.00,10,5
INE671H01015,SOBHA,532784,26.22,20.00,5,20.00,10,5
INE624Z01016,SOLARA,541540,23.65,20.00,5,20.00,10,5
INE343H01029,SOLARINDS,532725,19.21,20.00,5,20.00,10,5
INE269A01021,SONATSOFTW,532221,20.57,20.00,5,20.00,10,5
INE683A01023,SOUTHBANK,532218,20.80,20.00,5,20.00,10,5
INE572J01011,SPANDANA,542759,24.94,20.00,5,20.00,10,5
INE232I01014,SPARC,532872,23.41,20.00,5,20.00,10,5
INE285B01017,SPICEJET,500285,35.00,35.00,3,35.00,10,3
INE647A01010,SRF,503806,18.06,20.00,5,20.00,10,5
INE721A01013,SRTRANSFIN,511218,23.35,20.00,5,20.00,10,5
INE939A01011,STAR,532531,22.38,20.00,5,20.00,10,5
INE460H01021,STARCEMENT,540575,15.77,20.00,5,20.00,10,5
INE089C01029,STLTECH,532374,21.86,20.00,5,20.00,10,5
INE659A01023,SUDARSCHEM,506655,20.43,20.00,5,20.00,10,5
INE258G01013,SUMICHEM,542920,17.79,20.00,5,20.00,10,5
INE105A01035,SUNCLAYLTD,520056,19.44,20.00,5,20.00,10,5
INE660A01013,SUNDARMFIN,590071,16.51,20.00,5,20.00,10,5
INE387A01021,SUNDRMFAST,500403,18.23,20.00,5,20.00,10,5
INE044A01036,SUNPHARMA,524715,14.89,20.00,5,20.00,10,5
INE805D01034,SUNTECK,512179,21.93,20.00,5,20.00,10,5
INE424H01027,SUNTV,532733,17.86,20.00,5,20.00,10,5
INE663A01017,SUPPETRO,500405,20.30,20.00,5,20.00,10,5
INE399C01030,SUPRAJIT,532509,21.57,20.00,5,20.00,10,5
INE195A01028,SUPREMEIND,509930,16.62,20.00,5,20.00,10,5
INE03QK01018,SUVENPHAR,543064,18.06,20.00,5,20.00,10,5
INE665A01038,SWANENERGY,503310,22.28,20.00,5,20.00,10,5
INE277A01016,SWARAJENG,500407,14.40,20.00,5,20.00,10,5
INE00M201021,SWSOLAR,542760,26.26,20.00,5,20.00,10,5
INE225D01027,SYMPHONY,517385,16.94,20.00,5,20.00,10,5
INE398R01022,SYNGENE,539268,16.06,20.00,5,20.00,10,5
INE488B01017,TASTYBITE,519091,20.82,20.00,5,20.00,10,5
INE092A01019,TATACHEM,500770,19.31,20.00,5,20.00,10,5
INE493A01027,TATACOFFEE,532301,20.47,20.00,5,20.00,10,5
INE151A01013,TATACOMM,500483,19.11,20.00,5,20.00,10,5
INE192A01025,TATACONSUM,500800,15.48,20.00,5,20.00,10,5
INE670A01012,TATAELXSI,500408,20.45,20.00,5,20.00,10,5
INE672A01018,TATAINVEST,501301,16.54,20.00,5,20.00,10,5
INE056C01010,TATAMETALI,513434,21.61,20.00,5,20.00,10,5
INE155A01022,TATAMOTORS,500570,24.24,20.00,5,20.00,10,5
INE245A01021,TATAPOWER,500400,22.41,20.00,5,20.00,10,5
INE081A01012,TATASTEEL,500470,20.17,20.00,5,20.00,10,5
INE674A01014,TATASTLLP,513010,21.82,20.00,5,20.00,10,5
INE688A01022,TCI,532349,26.15,20.00,5,20.00,10,5
INE778U01029,TCNSBRANDS,541700,22.34,20.00,5,20.00,10,5
INE467B01029,TCS,532540,12.63,20.00,5,20.00,10,5
INE985S01024,TEAMLEASE,539658,19.75,20.00,5,20.00,10,5
INE669C01036,TECHM,532755,16.16,20.00,5,20.00,10,5
INE285K01026,TECHNOE,542141,19.61,20.00,5,20.00,10,5
INE152A01029,THERMAX,500411,18.66,20.00,5,20.00,10,5
INE594H01019,THYROCARE,539871,19.47,20.00,5,20.00,10,5
INE325A01013,TIMKEN,522113,19.97,20.00,5,20.00,10,5
INE280A01028,TITAN,500114,16.06,20.00,5,20.00,10,5
INE685A01028,TORNTPHARM,500420,15.04,20.00,5,20.00,10,5
INE813H01021,TORNTPOWER,532779,15.91,20.00,5,20.00,10,5
INE849A01020,TRENT,500251,18.35,20.00,5,20.00,10,5
INE152M01016,TRITURBINE,533655,24.70,20.00,5,20.00,10,5
INE494B01023,TVSMOTOR,532343,17.17,20.00,5,20.00,10,5
INE038F01029,TVTODAY,532515,20.51,20.00,5,20.00,10,5
INE686F01025,UBL,532478,15.31,20.00,5,20.00,10,5
INE691A01018,UCOBANK,532505,18.00,20.00,5,20.00,10,5
INE516A01017,UFLEX,500148,21.10,20.00,5,20.00,10,5
INE583D01011,UGROCAP,511742,15.93,20.00,5,20.00,10,5
INE334L01012,UJJIVAN,539874,25.00,20.00,5,20.00,10,5
INE551W01018,UJJIVANSFB,542904,20.20,20.00,5,20.00,10,5
INE481G01011,ULTRACEMCO,532538,14.43,20.00,5,20.00,10,5
INE692A01016,UNIONBANK,532477,22.49,20.00,5,20.00,10,5
INE628A01036,UPL,512070,18.37,20.00,5,20.00,10,5
INE094J01016,UTIAMC,543238,16.33,20.00,5,20.00,10,5
INE051B01021,VAKRANGEE,511431,27.11,20.00,5,20.00,10,5
INE565V01010,VALIANTORG,540145,18.79,20.00,5,20.00,10,5
INE200M01013,VBL,540180,18.42,20.00,5,20.00,10,5
INE205A01025,VEDL,500295,23.61,20.00,5,20.00,10,5
INE398A01010,VENKEYS,523261,23.66,20.00,5,20.00,10,5
INE386A01015,VESUVIUS,520113,16.08,20.00,5,20.00,10,5
INE951I01027,VGUARD,532953,15.53,20.00,5,20.00,10,5
INE410B01037,VINATIORGA,524200,17.60,20.00,5,20.00,10,5
INE054A01027,VIPIND,507880,21.59,20.00,5,20.00,10,5
INE665J01013,VMART,534976,19.93,20.00,5,20.00,10,5
INE226A01021,VOLTAS,500575,15.70,20.00,5,20.00,10,5
INE710A01016,VSTIND,509966,12.50,20.00,5,20.00,10,5
INE825A01012,VTL,502986,20.22,20.00,5,20.00,10,5
INE342J01019,WABCOINDIA,533023,15.20,20.00,5,20.00,10,5
INE191B01025,WELCORP,532144,24.15,20.00,5,20.00,10,5
INE192B01031,WELSPUNIND,514162,24.20,20.00,5,20.00,10,5
INE274F01020,WESTLIFE,505533,17.60,20.00,5,20.00,10,5
INE716A01013,WHIRLPOOL,500238,17.19,20.00,5,20.00,10,5
INE075A01022,WIPRO,507685,15.16,20.00,5,20.00,10,5
INE049B01025,WOCKPHARMA,532300,35.00,35.00,3,35.00,10,3
INE528G01035,YESBANK,532648,31.89,20.00,5,20.00,10,5
INE256A01028,ZEEL,505537,30.10,20.00,5,20.00,10,5
INE520A01027,ZENSARTECH,504067,24.20,20.00,5,20.00,10,5
INE768C01010,ZYDUSWELL,531335,12.98,20.00,5,20.00,10,5
INE974X01010,TIINDIA,540762,20.14,20.00,5,20.00,10,5
INE585A01020,NAT.PEROXIDE,500298,21.84,20.00,5,20.00,10,5
INE083K01017,BENGLA& ASM,533095,21.30,20.00,5,20.00,10,5
INE669E01016,IDEA,532822,41.30,35.00,3,35.00,10,3
INE775A01035,MOTHERSUMI,517334,22.35,20.00,5,20.00,10,5
INE571A01038,IPCALAB,524494,16.30,20.00,5,20.00,10,5
INE935N01020,DIXON,540699,20.14,20.00,5,20.00,10,5
INE306R01017,INTELLECT,538835,25.63,20.00,5,20.00,10,5
INE417T01026,POLICYBZR,543390,15.38,20.00,5,20.00,10,5
INE388Y01029,NYKAA,543384,12.50,20.00,5,20.00,10,5
INE0BJS01011,GOCOLORS,543401,13.80,20.00,5,20.00,10,5
INE011K01018,TEGA,543413,12.50,20.00,5,20.00,10,5
INE982J01020,PAYTM,543396,14.93,20.00,5,20.00,10,5
INE463V01026,ANANDRATHI,543415,12.50,20.00,5,20.00,10,5
INE217L01019,SHRIRAMPPS,543419,12.50,20.00,5,20.00,10,5
INE0BV301023,MAPMYINDIA,543425,25.00,20.00,5,20.00,10,5
INE804L01022,MEDPLUS,543427,25.00,20.00,5,20.00,10,5
INE0IX101010,DATAPATTNS,543428,25.00,20.00,5,20.00,10,5
INE07RO01027,SUPRIYA,543434,25.00,20.00,5,20.00,10,5
INE925R01014,CMSINFO,543441,25.00,20.00,5,20.00,10,5
,,Not listed in BSE,100.00,100.00,1,100.00,10,1
,,Not listed in BSE,100.00,100.00,1,100.00,10,1
,,Not listed in BSE,100.00,100.00,1,100.00,10,1
,,Not listed in BSE,100.00,100.00,1,100.00,10,1
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
